condition_concept_id,concept_name,vocabulary_id
22557,Malignant tumor of submandibular gland,SNOMED
23034,Neonatal hypoglycemia,SNOMED
23164,Disorder of anterior pituitary,SNOMED
22274,Neoplasm of uncertain behavior of larynx,SNOMED
24609,Hypoglycemia,SNOMED
24660,Acute tonsillitis,SNOMED
26711,Chronic pharyngitis,SNOMED
23220,Chronic tonsillitis,SNOMED
23731,Benign neoplasm of larynx,SNOMED
23986,Disorder of pituitary gland,SNOMED
24977,Mucocele of salivary gland,SNOMED
25189,Malignant tumor of oral cavity,SNOMED
22350,Edema of larynx,SNOMED
22955,Perforation of esophagus,SNOMED
22340,Esophageal varices without bleeding,SNOMED
22492,Foreign body in pharynx,SNOMED
23798,Acute laryngopharyngitis,SNOMED
23245,Esophageal bleeding,SNOMED
23325,Heartburn,SNOMED
23653,Foreign body in esophagus,SNOMED
24230,Foreign body in larynx,SNOMED
24602,Benign neoplasm of esophagus,SNOMED
25297,Acute pharyngitis,SNOMED
25518,Sickle cell trait,SNOMED
25698,Complication of transplanted pancreas,SNOMED
24818,Injury of neck,SNOMED
26441,Bleeding ulcer of esophagus,SNOMED
27137,Open wound in mouth with complication,SNOMED
24970,Chronic laryngitis,SNOMED
27419,Open wound of neck without complication,SNOMED
26052,Primary malignant neoplasm of larynx,SNOMED
28179,Polyp of vocal cord or larynx,SNOMED
26638,Primary malignant neoplasm of esophagus,SNOMED
28385,Disorder of posterior pituitary,SNOMED
28461,Hypertrophy of salivary gland,SNOMED
28779,Bleeding esophageal varices,SNOMED
27674,Nausea and vomiting,SNOMED
28974,Candidiasis of the esophagus,SNOMED
28898,Open wound of neck with complication,SNOMED
31509,Primary malignant neoplasm of tonsil,SNOMED
31884,Acquired diverticulum of esophagus,SNOMED
29056,Sialoadenitis,SNOMED
26662,Testicular hypofunction,SNOMED
26823,Oral phase dysphagia,SNOMED
30163,Cellulitis and abscess of neck,SNOMED
30274,Third degree burn of neck,SNOMED
27516,Neoplasm of uncertain behavior of paraganglia,SNOMED
30333,Gonorrhea of pharynx,SNOMED
28060,Streptococcal sore throat,SNOMED
28403,Gigantism and acromegaly,SNOMED
30437,Gastro-esophageal reflux disease with esophagitis,SNOMED
31057,Disorder of pharynx,SNOMED
30234,Neck sprain,SNOMED
30284,Motion sickness,SNOMED
30365,Panhypopituitarism,SNOMED
30753,Esophagitis,SNOMED
