drug_concept_id,concept_name,vocabulary_id
523204,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule,RxNorm
535714,Rho(D) Immune Globulin,RxNorm
551749,"Immunoglobulins, Intravenous",RxNorm
701322,Memantine,RxNorm
703244,paliperidone,RxNorm
703547,Trazodone,RxNorm
704599,Triazolam,RxNorm
704600,Triazolam 0.125 MG Oral Tablet,RxNorm
704601,Triazolam 0.25 MG Oral Tablet,RxNorm
704943,Methocarbamol,RxNorm
704944,Methocarbamol 500 MG Oral Tablet,RxNorm
704945,Methocarbamol 750 MG Oral Tablet,RxNorm
705103,lamotrigine,RxNorm
705108,lamotrigine 100 MG Oral Tablet,RxNorm
705109,lamotrigine 150 MG Oral Tablet,RxNorm
705110,lamotrigine 200 MG Oral Tablet,RxNorm
705178,Trihexyphenidyl,RxNorm
705944,Methylphenidate,RxNorm
708298,Midazolam,RxNorm
709567,Lisdexamfetamine,RxNorm
710062,Amitriptyline,RxNorm
710650,modafinil,RxNorm
711584,Levetiracetam,RxNorm
711588,Levetiracetam 250 MG Oral Tablet,RxNorm
711589,Levetiracetam 500 MG Oral Tablet,RxNorm
711714,Dantrolene,RxNorm
712615,ziprasidone,RxNorm
712620,ziprasidone 40 MG Oral Capsule,RxNorm
712642,ziprasidone 80 MG Oral Capsule,RxNorm
712643,ziprasidone 20 MG Oral Capsule,RxNorm
713823,ropinirole,RxNorm
713831,ropinirole 0.25 MG Oral Tablet,RxNorm
713852,ropinirole 0.5 MG Oral Tablet,RxNorm
713853,ropinirole 2 MG Oral Tablet,RxNorm
714819,Amphetamine aspartate 7.5 MG / Amphetamine Sulfate 7.5 MG / Dextroamphetamine saccharate 7.5 MG / Dextroamphetamine Sulfate 7.5 MG Oral Tablet,RxNorm
714850,Amphetamine aspartate 3.75 MG / Amphetamine Sulfate 3.75 MG / Dextroamphetamine saccharate 3.75 MG / Dextroamphetamine Sulfate 3.75 MG Oral Tablet,RxNorm
714851,Amphetamine aspartate 5 MG / Amphetamine Sulfate 5 MG / Dextroamphetamine saccharate 5 MG / Dextroamphetamine Sulfate 5 MG Oral Tablet,RxNorm
715233,Baclofen,RxNorm
715235,Baclofen 10 MG Oral Tablet,RxNorm
715236,Baclofen 20 MG Oral Tablet,RxNorm
715259,duloxetine,RxNorm
715294,duloxetine 20 MG Delayed Release Oral Capsule,RxNorm
715300,duloxetine 60 MG Delayed Release Oral Capsule,RxNorm
715710,rasagiline,RxNorm
715939,Escitalopram,RxNorm
715940,Escitalopram 10 MG Oral Tablet,RxNorm
715962,Escitalopram 5 MG Oral Tablet,RxNorm
715997,donepezil,RxNorm
716968,Desipramine,RxNorm
717607,Desvenlafaxine,RxNorm
718122,oxcarbazepine,RxNorm
718127,oxcarbazepine 150 MG Oral Tablet,RxNorm
718128,oxcarbazepine 300 MG Oral Tablet,RxNorm
718129,oxcarbazepine 600 MG Oral Tablet,RxNorm
718583,Nicotine,RxNorm
718670,Nicotine 2 MG Chewing Gum,RxNorm
718757,Nicotine 2 MG Oral Lozenge,RxNorm
719174,Benztropine,RxNorm
719311,Dextroamphetamine,RxNorm
719380,Amphetamine aspartate 1.25 MG / Amphetamine Sulfate 1.25 MG / Dextroamphetamine saccharate 1.25 MG / Dextroamphetamine Sulfate 1.25 MG Oral Tablet,RxNorm
719416,Amphetamine aspartate 2.5 MG / Amphetamine Sulfate 2.5 MG / Dextroamphetamine saccharate 2.5 MG / Dextroamphetamine Sulfate 2.5 MG Oral Tablet,RxNorm
720727,zaleplon,RxNorm
720730,zaleplon 10 MG Oral Capsule,RxNorm
720731,zaleplon 5 MG Oral Capsule,RxNorm
720810,Pramipexole,RxNorm
721724,Nortriptyline,RxNorm
721760,Nortriptyline 25 MG Oral Capsule,RxNorm
722031,Paroxetine,RxNorm
722067,Paroxetine 10 MG Oral Tablet,RxNorm
722069,Paroxetine 30 MG Oral Tablet,RxNorm
722070,Paroxetine 40 MG Oral Tablet,RxNorm
722071,Paroxetine 20 MG Oral Tablet,RxNorm
722424,Interferon beta-1a,RxNorm
723013,Diazepam,RxNorm
723020,Diazepam 10 MG Oral Tablet,RxNorm
723042,Diazepam 5 MG Oral Tablet,RxNorm
725131,Mirtazapine,RxNorm
725178,Mirtazapine 15 MG Oral Tablet,RxNorm
725179,Mirtazapine 45 MG Oral Tablet,RxNorm
725180,Mirtazapine 30 MG Oral Tablet,RxNorm
733008,Perphenazine,RxNorm
733301,Buspirone,RxNorm
733523,rivastigmine,RxNorm
734275,Phenobarbital,RxNorm
734354,pregabalin,RxNorm
734356,pregabalin 100 MG Oral Capsule,RxNorm
734360,pregabalin 25 MG Oral Capsule,RxNorm
734392,pregabalin 300 MG Oral Capsule,RxNorm
734394,pregabalin 200 MG Oral Capsule,RxNorm
734396,pregabalin 50 MG Oral Capsule,RxNorm
735340,Phentermine,RxNorm
735843,natalizumab,RxNorm
735844,15 ML natalizumab 20 MG/ML Injection,RxNorm
735850,Disulfiram,RxNorm
735851,Disulfiram 250 MG Oral Tablet,RxNorm
735951,Riluzole,RxNorm
735979,Risperidone,RxNorm
736020,Risperidone 0.25 MG Oral Tablet,RxNorm
736021,Risperidone 0.5 MG Oral Tablet,RxNorm
736053,Risperidone 2 MG Oral Tablet,RxNorm
736054,Risperidone 3 MG Oral Tablet,RxNorm
736055,Risperidone 4 MG Oral Tablet,RxNorm
738156,Doxepin,RxNorm
738818,Doxylamine,RxNorm
739138,Sertraline,RxNorm
739207,Sertraline 100 MG Oral Tablet,RxNorm
739209,Sertraline 50 MG Oral Tablet,RxNorm
740275,Carbamazepine,RxNorm
740281,12 HR Carbamazepine 100 MG Extended Release Oral Tablet,RxNorm
740910,Phenytoin,RxNorm
742185,atomoxetine,RxNorm
742189,atomoxetine 40 MG Oral Capsule,RxNorm
742267,topiramate,RxNorm
742268,topiramate 50 MG Oral Tablet,RxNorm
742303,topiramate 25 MG Oral Tablet,RxNorm
742304,topiramate 100 MG Oral Tablet,RxNorm
743670,venlafaxine,RxNorm
743717,24 HR venlafaxine 150 MG Extended Release Oral Capsule,RxNorm
743718,venlafaxine 25 MG Oral Tablet,RxNorm
743719,24 HR venlafaxine 37.5 MG Extended Release Oral Capsule,RxNorm
743720,venlafaxine 37.5 MG Oral Tablet,RxNorm
743721,24 HR venlafaxine 75 MG Extended Release Oral Capsule,RxNorm
743752,venlafaxine 75 MG Oral Tablet,RxNorm
744740,zolpidem,RxNorm
744798,zonisamide,RxNorm
744800,zonisamide 100 MG Oral Capsule,RxNorm
749910,Carisoprodol,RxNorm
749932,Carisoprodol 350 MG Oral Tablet,RxNorm
750982,Bupropion,RxNorm
751247,Lithium Carbonate 300 MG Oral Capsule,RxNorm
751249,Lithium Carbonate 300 MG Extended Release Oral Tablet,RxNorm
751250,Lithium Carbonate 450 MG Extended Release Oral Tablet,RxNorm
751251,Lithium Carbonate 600 MG Oral Capsule,RxNorm
751347,Primidone,RxNorm
751362,Lithium Carbonate 150 MG Oral Capsule,RxNorm
751412,Fluvoxamine,RxNorm
751889,Glatiramer,RxNorm
752061,Prochlorperazine,RxNorm
752092,Prochlorperazine 25 MG Rectal Suppository,RxNorm
752095,Prochlorperazine 10 MG Oral Tablet,RxNorm
752205,Prochlorperazine 5 MG Oral Tablet,RxNorm
755695,Fluoxetine,RxNorm
755700,Fluoxetine 20 MG Oral Tablet,RxNorm
755739,Fluoxetine 40 MG Oral Capsule,RxNorm
756018,Fluphenazine,RxNorm
757352,Eszopiclone,RxNorm
757356,Eszopiclone 2 MG Oral Tablet,RxNorm
757358,Eszopiclone 3 MG Oral Tablet,RxNorm
757627,Galantamine,RxNorm
757688,aripiprazole,RxNorm
757690,aripiprazole 10 MG Oral Tablet,RxNorm
757691,aripiprazole 30 MG Oral Tablet,RxNorm
757712,aripiprazole 20 MG Oral Tablet,RxNorm
759740,Pyridostigmine,RxNorm
766209,Selegiline,RxNorm
766529,Haloperidol,RxNorm
766814,quetiapine,RxNorm
766819,quetiapine 100 MG Oral Tablet,RxNorm
766820,quetiapine 25 MG Oral Tablet,RxNorm
766821,quetiapine 300 MG Oral Tablet,RxNorm
766842,quetiapine 200 MG Oral Tablet,RxNorm
766850,quetiapine 400 MG Oral Tablet,RxNorm
766923,quetiapine 50 MG Oral Tablet,RxNorm
777221,Hydroxyzine,RxNorm
778268,Imipramine,RxNorm
778296,Imipramine Hydrochloride 25 MG Oral Tablet,RxNorm
778357,Imipramine Hydrochloride 10 MG Oral Tablet,RxNorm
778474,tizanidine,RxNorm
778478,tizanidine 2 MG Oral Tablet,RxNorm
778479,tizanidine 4 MG Oral Tablet,RxNorm
778504,tizanidine 4 MG Oral Capsule,RxNorm
778505,tizanidine 2 MG Oral Capsule,RxNorm
778711,cyclobenzaprine,RxNorm
778765,Cyclobenzaprine hydrochloride 10 MG Oral Tablet,RxNorm
780369,metaxalone,RxNorm
780383,metaxalone 800 MG Oral Tablet,RxNorm
780442,varenicline,RxNorm
780444,varenicline 0.5 MG Oral Tablet,RxNorm
781039,Alprazolam,RxNorm
781062,Alprazolam 1 MG Oral Tablet,RxNorm
781063,Alprazolam 2 MG Oral Tablet,RxNorm
781126,24 HR Alprazolam 0.5 MG Extended Release Oral Tablet,RxNorm
781182,ramelteon,RxNorm
781184,ramelteon 8 MG Oral Tablet,RxNorm
782211,entacapone,RxNorm
785788,olanzapine,RxNorm
785815,olanzapine 20 MG Oral Tablet,RxNorm
785821,olanzapine 10 MG Oral Tablet,RxNorm
789580,Carbidopa 10 MG / Levodopa 100 MG Oral Tablet,RxNorm
789581,Carbidopa 25 MG / Levodopa 100 MG Oral Tablet,RxNorm
791967,Lorazepam,RxNorm
794852,Chlorpromazine,RxNorm
797399,gabapentin,RxNorm
797415,gabapentin 50 MG/ML Oral Solution,RxNorm
797439,gabapentin 300 MG Oral Tablet,RxNorm
797617,Citalopram,RxNorm
797632,Citalopram 10 MG Oral Tablet,RxNorm
798874,Clonazepam,RxNorm
798875,Clonazepam 0.5 MG Oral Tablet,RxNorm
798876,Clonazepam 1 MG Oral Tablet,RxNorm
798877,Clonazepam 2 MG Oral Tablet,RxNorm
798914,Clonazepam 0.25 MG Disintegrating Oral Tablet,RxNorm
798917,Clonazepam 0.5 MG Disintegrating Oral Tablet,RxNorm
800878,Clozapine,RxNorm
800881,Clozapine 100 MG Oral Tablet,RxNorm
836715,Temazepam,RxNorm
836718,Temazepam 15 MG Oral Capsule,RxNorm
836719,Temazepam 30 MG Oral Capsule,RxNorm
836720,Temazepam 7.5 MG Oral Capsule,RxNorm
902251,hypromellose,RxNorm
902429,Timolol 2.5 MG/ML Ophthalmic Solution,RxNorm
902489,dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution,RxNorm
902722,Tobramycin,RxNorm
902741,Tobramycin 3 MG/ML Ophthalmic Solution,RxNorm
903711,Tretinoin 0.00025 MG/MG Topical Gel,RxNorm
903752,Tretinoin 0.5 MG/ML Topical Solution,RxNorm
903963,Triamcinolone,RxNorm
904356,Methenamine,RxNorm
904435,Triamcinolone 0.001 MG/MG Paste,RxNorm
904437,Triamcinolone 0.066 MG/ML Topical Spray,RxNorm
904453,Esomeprazole,RxNorm
904457,Esomeprazole 20 MG Delayed Release Oral Tablet,RxNorm
904490,Esomeprazole 20 MG Granules for Oral Suspension,RxNorm
904492,Esomeprazole 40 MG Granules for Oral Suspension,RxNorm
904501,travoprost,RxNorm
904542,Triamterene,RxNorm
904546,Triamterene 50 MG Oral Capsule,RxNorm
904549,Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,RxNorm
905233,Mometasone,RxNorm
905236,mometasone furoate 1 MG/ML Topical Cream,RxNorm
905266,120 ACTUAT mometasone furoate 0.05 MG/ACTUAT Nasal Inhaler,RxNorm
905294,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler,RxNorm
905371,Methylcellulose,RxNorm
