procedure_concept_id,concept_name,vocabulary_id
2100780,"Cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time",CPT4
2101870,"Fine needle aspiration biopsy, without imaging guidance; first lesion",CPT4
2101871,Fine needle aspiration; with imaging guidance,CPT4
2101877,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single",CPT4
2101878,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple",CPT4
2101881,Incision and drainage of pilonidal cyst; simple,CPT4
2101884,"Incision and removal of foreign body, subcutaneous tissues; simple",CPT4
2101885,"Incision and removal of foreign body, subcutaneous tissues; complicated",CPT4
2101886,"Incision and drainage of hematoma, seroma or fluid collection",CPT4
2101888,"Puncture aspiration of abscess, hematoma, bulla, or cyst",CPT4
2101921,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, muscle, and bone",CPT4
2101925,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less",CPT4
2101926,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less",CPT4
2101927,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less",CPT4
2101928,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion",CPT4
2101929,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions",CPT4
2101930,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions",CPT4
2101931,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion",CPT4
2101932,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; each separate/additional lesion (List separately in addition to code for primary procedure)",CPT4
2101938,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions",CPT4
2101964,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less",CPT4
2101965,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm",CPT4
2101966,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm",CPT4
2101967,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm",CPT4
2101968,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm",CPT4
2101969,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm",CPT4
2101970,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less",CPT4
2101971,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm",CPT4
2101982,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm",CPT4
2101983,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm",CPT4
2101985,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm",CPT4
2101986,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less",CPT4
2101987,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm",CPT4
2101988,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm",CPT4
2102037,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm",CPT4
2102038,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm",CPT4
2102039,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 3.1 to 4.0 cm",CPT4
2102040,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm",CPT4
2102054,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm",CPT4
2102055,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm",CPT4
2102057,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm",CPT4
2102061,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm",CPT4
2102075,"Trimming of nondystrophic nails, any number",CPT4
2102076,Debridement of nail(s) by any method(s); 1 to 5,CPT4
2102077,Debridement of nail(s) by any method(s); 6 or more,CPT4
2102078,"Avulsion of nail plate, partial or complete, simple; single",CPT4
2102080,Evacuation of subungual hematoma,CPT4
2102081,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal",CPT4
2102094,Repair of nail bed,CPT4
2102098,Excision of pilonidal cyst or sinus; extensive,CPT4
2102101,"Injection, intralesional; up to and including 7 lesions",CPT4
2102112,"Injection, intralesional; more than 7 lesions",CPT4
2102114,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm",CPT4
2102115,"Tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; each additional 20.0 sq cm, or part thereof (List separately in addition to code for primary procedure)",CPT4
2102121,Replacement of tissue expander with permanent prosthesis,CPT4
2102134,"Removal, implantable contraceptive capsules",CPT4
