concept_id,concept_name,vocabulary_id,table
3000453,Epstein Barr virus DNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection,LOINC,measurement
3000515,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,LOINC,measurement
3000722,Carnitine free (C0) [Moles/volume] in Serum or Plasma,LOINC,measurement
3001405,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood,LOINC,measurement
3001599,Carotene [Mass/volume] in Serum,LOINC,measurement
3000787,Salicylates [Mass/volume] in Serum or Plasma,LOINC,measurement
3001709,Weight of Stool,LOINC,measurement
3000185,Iron saturation [Mass Fraction] in Serum or Plasma,LOINC,measurement
3000067,Parathyrin.intact [Mass/volume] in Serum or Plasma,LOINC,measurement
3000905,Leukocytes [#/volume] in Blood by Automated count,LOINC,measurement
3002052,WBC casts [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3002400,Iron [Mass/volume] in Serum or Plasma,LOINC,measurement
3002617,Acetaminophen [Mass/volume] in Serum or Plasma,LOINC,measurement
3004217,Deprecated Streptococcus pneumoniae 14 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3000231,Tricyclic antidepressants [Mass/volume] in Serum or Plasma,LOINC,measurement
3004295,Urea nitrogen [Mass/volume] in Blood,LOINC,measurement
3000483,Glucose [Mass/volume] in Blood,LOINC,measurement
3004327,Lymphocytes [#/volume] in Blood by Automated count,LOINC,measurement
3001802,Microalbumin/Creatinine [Mass Ratio] in Urine,LOINC,measurement
3000593,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,LOINC,measurement
3000620,Complement C3 [Mass/volume] in Serum or Plasma,LOINC,measurement
3004789,Transferrin [Mass/volume] in Serum or Plasma,LOINC,measurement
3005029,Protein [Mass/volume] in Body fluid,LOINC,measurement
3005033,Fetal Nuchal fold Thickness US,LOINC,measurement
3005665,Streptococcus pneumoniae Danish serotype 6B IgG Ab [Mass/volume] in Serum,LOINC,measurement
3000637,Triglyceride [Mass/volume] in Body fluid,LOINC,measurement
3000963,Hemoglobin [Mass/volume] in Blood,LOINC,measurement
3005719,IgG [Mass/volume] in Serum or Plasma,LOINC,measurement
3001951,Fetal Crown Rump length US,LOINC,measurement
3001850,Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC,measurement
3005893,Phenytoin Free [Mass/volume] in Serum or Plasma,LOINC,measurement
3002173,Hemoglobin [Mass/volume] in Arterial blood,LOINC,measurement
3005895,Myoglobin [Mass/volume] in Serum or Plasma,LOINC,measurement
3002587,RBC casts [#/area] in Urine sediment by Microscopy low power field,LOINC,measurement
3003785,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,LOINC,measurement
3006109,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,LOINC,measurement
3003932,Carbon dioxide [Partial pressure] in Arterial cord blood,LOINC,measurement
3003985,Beta hydroxybutyrate [Moles/volume] in Serum or Plasma,LOINC,measurement
3006407,Chromogranin A [Mass/volume] in Serum or Plasma,LOINC,measurement
3004410,Hemoglobin A1c/Hemoglobin.total in Blood,LOINC,measurement
3006665,Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum,LOINC,measurement
3004640,Lambda light chains [Mass/volume] in Serum or Plasma,LOINC,measurement
3004708,Deprecated Streptococcus pneumoniae 1 IgG Ab [Mass/volume] in Serum,LOINC,measurement
3007124,Reticulocytes/100 erythrocytes in Blood by Automated count,LOINC,measurement
3007238,Nucleated erythrocytes [#/volume] in Blood by Automated count,LOINC,measurement
3005005,Acylcarnitine/Carnitine.free (C0) [Molar ratio] in Serum or Plasma,LOINC,measurement
3007687,Calcium [Mass/time] in 24 hour Urine,LOINC,measurement
3005105,Blasts [#/volume] in Blood,LOINC,measurement
3007808,Renin [Enzymatic activity/volume] in Plasma,LOINC,measurement
